Name,Size
space_app1/1000/100/ExprMap,5194056
space_app1/1000/100/Map,14295888
space_app1/1000/100/HashMap,14287120
space_app1/1000/1000/ExprMap,49168640
space_app1/1000/1000/Map,143805664
space_app1/1000/1000/HashMap,143796992
space_app1/1000/1000/ExprMap,49168640
space_app1/1000/1000/Map,143805664
space_app1/1000/1000/HashMap,143796992
space_app1/1000/10000/ExprMap,444011536
space_app1/1000/10000/Map,1399679440
space_app1/1000/10000/HashMap,1399670816
space_app1/1000/10/ExprMap,778344
space_app1/1000/10/Map,1570448
space_app1/1000/10/HashMap,1561216
space_app1/1000/100/ExprMap,5194056
space_app1/1000/100/Map,14295888
space_app1/1000/100/HashMap,14287120
space_app1/1000/1000/ExprMap,49168640
space_app1/1000/1000/Map,143805664
space_app1/1000/1000/HashMap,143796992
space_app1/1000/1000/ExprMap,49168640
space_app1/1000/1000/Map,143805664
space_app1/1000/1000/HashMap,143796992
space_app1/1000/10000/ExprMap,444011536
space_app1/1000/10000/Map,1399679440
space_app1/1000/10000/HashMap,1399670816
space_app1/10000/10/ExprMap,7121792
space_app1/10000/10/Map,15293192
space_app1/10000/10/HashMap,15184080
space_app1/10000/100/ExprMap,50867224
space_app1/10000/100/Map,142169024
space_app1/10000/100/HashMap,142039960
space_app1/10000/1000/ExprMap,490623200
space_app1/10000/1000/Map,1439118168
space_app1/10000/1000/HashMap,1438990608
space_app1/10000/1000/ExprMap,490623200
space_app1/10000/1000/Map,1439118168
space_app1/10000/1000/HashMap,1438990608
space_app1/10000/10000/ExprMap,4424977752
space_app1/10000/10000/Map,14002163616
space_app1/10000/10000/HashMap,14002037568
space_app2/10/10/ExprMap,29752
space_app2/10/10/Map,19760
space_app2/10/10/HashMap,19592
space_app2/10/100/ExprMap,226976
space_app2/10/100/Map,148960
space_app2/10/100/HashMap,148792
space_app2/10/1000/ExprMap,2191560
space_app2/10/1000/Map,1441712
space_app2/10/1000/HashMap,1441544
space_app2/10/1000/ExprMap,2191560
space_app2/10/1000/Map,1441712
space_app2/10/1000/HashMap,1441544
space_app2/10/10000/ExprMap,21336144
space_app2/10/10000/Map,13886256
space_app2/10/10000/HashMap,13886088
space_app2/100/10/ExprMap,245336
space_app2/100/10/Map,165416
space_app2/100/10/HashMap,164584
space_app2/100/100/ExprMap,2153328
space_app2/100/100/Map,1455152
space_app2/100/100/HashMap,1454400
space_app2/100/1000/ExprMap,21098368
space_app2/100/1000/Map,14504448
space_app2/100/1000/HashMap,14503512
space_app2/100/1000/ExprMap,21098368
space_app2/100/1000/Map,14504448
space_app2/100/1000/HashMap,14503512
space_app2/100/10000/ExprMap,205091768
space_app2/100/10000/Map,139916512
space_app2/100/10000/HashMap,139915528
space_app2/1000/10/ExprMap,2235944
space_app2/1000/10/Map,1570448
space_app2/1000/10/HashMap,1561216
space_app2/1000/100/ExprMap,21178056
space_app2/1000/100/Map,14295888
space_app2/1000/100/HashMap,14287120
space_app2/1000/1000/ExprMap,209008640
space_app2/1000/1000/Map,143805664
space_app2/1000/1000/HashMap,143796992
space_app2/1000/1000/ExprMap,209008640
space_app2/1000/1000/Map,143805664
space_app2/1000/1000/HashMap,143796992
space_app2/1000/10000/ExprMap,2042411536
space_app2/1000/10000/Map,1399679440
