Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
lookup_app1/100/10/Map/,1.8760628979478636e-4,1.875577912014942e-4,1.8765606933964486e-4,1.621902834086533e-7,1.3945504722213093e-7,1.8532956622923106e-7
lookup_app1/100/10/HashMap/,8.662112757893942e-5,8.659421643654064e-5,8.664347753286213e-5,8.213650567920673e-8,6.743443411050927e-8,1.0427216662096901e-7
lookup_app1/100/100/ExprMap/,4.808962184412957e-4,4.8081307648075073e-4,4.809707838924677e-4,2.661516886445786e-7,2.2734573220476694e-7,3.057209290209826e-7
lookup_app1/100/100/Map/,1.6444629247748526e-3,1.644203660730395e-3,1.6447086594896824e-3,8.680550497388039e-7,7.058197142804599e-7,1.0963193324292981e-6
lookup_app1/100/100/HashMap/,7.88157832792781e-4,7.879823403553028e-4,7.886081784501518e-4,9.205577976807112e-7,3.839732793823406e-7,1.7919573374447294e-6
lookup_app1/100/1000/ExprMap/,5.334739580640856e-3,5.332755871097368e-3,5.337415374948941e-3,6.924571543759544e-6,5.745753325956161e-6,8.396078333309686e-6
lookup_app1/100/1000/Map/,1.6786905843799618e-2,1.676936359196284e-2,1.685213977627294e-2,7.745188972127349e-5,8.99157707928793e-6,1.5553664941847495e-4
lookup_app1/100/1000/HashMap/,9.473025790618187e-3,9.465521185425109e-3,9.480174266901632e-3,1.9653379077694165e-5,1.4751108221125966e-5,2.9397612779025855e-5
lookup_app1/100/10000/ExprMap/,7.329929616119236e-2,7.32160751241763e-2,7.344598083032503e-2,1.926851841961079e-4,1.0034198358812481e-4,3.1542708797577756e-4
lookup_app1/100/10000/Map/,0.2562694666658839,0.2558756523951888,0.2571950571984053,7.170834458484061e-4,5.1791700456235473e-5,9.360804091006961e-4
lookup_app1/100/10000/HashMap/,0.12424100138208208,0.12412634316521386,0.12434992628792922,1.7289118813664688e-4,1.2914556366532774e-4,2.3196573471444807e-4
lookup_app1/1000/10/ExprMap/,6.195877658786426e-4,6.194311163086101e-4,6.19732366372765e-4,4.986395051902446e-7,4.195807866050067e-7,5.886888269713309e-7
lookup_app1/1000/10/Map/,2.8897254501192965e-3,2.8891971572287036e-3,2.89026660525577e-3,1.7292092980541582e-6,1.4626390520180335e-6,2.1125857924240074e-6
lookup_app1/1000/10/HashMap/,8.903714590630487e-4,8.901941910732698e-4,8.905655563808338e-4,6.254432186002011e-7,5.366371626831639e-7,7.426857709008608e-7
lookup_app1/1000/100/ExprMap/,4.885870414389496e-3,4.8832359983324745e-3,4.889225276654941e-3,9.268407301251408e-6,7.647819793630773e-6,1.2351720660017509e-5
lookup_app1/1000/100/Map/,2.4607558674850483e-2,2.4586402382064207e-2,2.468625847664209e-2,8.279377684224208e-5,1.2421028871065066e-5,1.585304154090003e-4
lookup_app1/1000/100/HashMap/,7.965849924324052e-3,7.962907837864415e-3,7.970180039543067e-3,1.029055770173513e-5,7.428185754069503e-6,1.4597600112773188e-5
lookup_app1/1000/1000/ExprMap/,6.443679483618285e-2,6.441793995123211e-2,6.445359901630027e-2,3.165824544608519e-5,2.2613804315666968e-5,4.364783453515082e-5
lookup_app1/1000/1000/Map/,0.3106529250927269,0.3104673477075994,0.31095242500305176,3.077773551262357e-4,1.3290384539388147e-4,4.1764969592631747e-4
lookup_app1/1000/1000/HashMap/,0.10649818959177802,0.10636335188158291,0.10683449022521181,3.502103308869373e-4,4.98935722488372e-5,5.725519520429387e-4
lookup_app1/1000/10000/ExprMap/,0.8499160480763143,0.8494174428439389,0.8506069802679121,6.586154319041684e-4,3.021158878481773e-4,8.405921877618215e-4
lookup_app1/1000/10000/Map/,4.3514327387092635,4.351046583731659,4.3517627264373,4.3610866222001677e-4,1.2971270663045639e-4,5.811502850545292e-4
lookup_app1/1000/10000/HashMap/,1.251961698483986,1.251801404946794,1.2522241713789601,2.571225005957729e-4,6.787826840913948e-6,3.254457512205803e-4
lookup_app1/10000/10/ExprMap/,7.074644835657058e-3,7.071831280603585e-3,7.07887370469876e-3,9.856537539603961e-6,7.157070015318206e-6,1.4942452992966732e-5
lookup_app1/10000/10/Map/,4.0087839897387616e-2,4.002128724748081e-2,4.0349250405771295e-2,2.460987159374391e-4,1.682459254641596e-5,4.6038350471292925e-4
lookup_app1/10000/10/HashMap/,9.299286153142069e-3,9.295824002726284e-3,9.304055555365367e-3,1.0656229291148274e-5,6.658087401899144e-6,1.538053423908155e-5
lookup_app1/10000/100/ExprMap/,6.27125585374224e-2,6.267584648191393e-2,6.275761676348608e-2,7.205743413732138e-5,5.124537266015622e-5,9.551153135370381e-5
lookup_app1/10000/100/Map/,0.4290910694980994,0.42876336514018476,0.4294919844251126,4.0512014244863993e-4,1.6966252587735653e-4,5.608913870531252e-4
lookup_app1/10000/100/HashMap/,8.828110440826369e-2,8.822464771627907e-2,8.846515509699072e-2,1.5413607693070416e-4,4.6003033178095606e-5,2.596301046916759e-4
lookup_app1/10000/1000/ExprMap/,0.981074619689025,0.9808220324339345,0.9814150282181799,3.421566832253635e-4,1.1062957216671402e-4,4.618611489632936e-4
lookup_app1/10000/1000/Map/,4.982645079687548,4.982010491968443,4.983639068319462,9.821178411426805e-4,1.518776591709044e-5,1.2587412481815119e-3
lookup_app1/10000/1000/HashMap/,1.067733684903942,1.0675100188236684,1.0678651171037927,2.2364751469479475e-4,1.1099455878138542e-4,3.035296638558956e-4
lookup_app1/10000/10000/ExprMap/,7.792453916937423,7.791279935510829,7.793492528532321,1.2530134748865698e-3,7.26935143271934e-4,1.5591783342882484e-3
lookup_app1/10000/10000/Map/,63.594568357725315,63.59320398125176,63.59599635680206,1.755409708943707e-3,7.374384440481663e-4,2.29937192876003e-3
lookup_app1/10000/10000/HashMap/,12.251710079532737,12.251254037721083,12.251947835631047,4.314698250327436e-4,3.894076993038453e-5,5.490741894430253e-4
lookup_app2/10/ExprMap/,6.6932665676534125e-6,6.690427237139898e-6,6.696309828308949e-6,9.597362866766647e-9,7.852067161235327e-9,1.2935702811378685e-8
